,country,Lat,Lng,temp (f),humidity %,cloudiness %,wind (mph)
willowmore,ZA,-33.29,23.49,65.95,55,0,9.75
marawi,SD,18.48,31.82,68.14,26,0,13.33
attert,BE,49.75,5.79,37.99,96,0,3.51
berlevag,NO,70.86,29.09,35.6,82,0,23.04
busselton,AU,-33.65,115.33,54,97,23,4.94
cape town,ZA,-33.93,18.42,71.01,72,0,2.24
castro,CL,-42.47,-73.77,60.01,62,90,2.24
sioux lookout,CA,50.1,-91.92,24.8,79,90,9.17
kodiak,US,57.79,-152.41,42.8,48,20,17.22
hobart,AU,-42.88,147.33,68,52,20,16.11
bonavista,CA,48.65,-53.11,51.01,61,62,5.82
zyryanovsk,KZ,49.74,84.27,26.02,92,100,2.75
torbay,CA,47.67,-52.73,52,87,75,19.46
vaini,TO,-21.2,-175.2,82.4,78,20,10.29
bredasdorp,ZA,-34.53,20.04,66.99,70,4,4
san andres,CO,12.58,-81.7,86,70,40,3.36
sao filipe,CV,14.9,-24.5,81.41,63,0,4.23
narsaq,GL,60.92,-46.05,19.4,57,93,3.36
sterling,US,39.01,-77.43,52,76,90,10.29
preobrazheniye,RU,42.9,133.91,42.62,74,0,8.21
hambantota,LK,6.12,81.12,75.2,100,20,2.24
adrar,DZ,25.75,-1,72.19,25,60,9.91
jamestown,SH,-15.94,-5.72,61.41,89,100,15.77
dikson,RU,73.51,80.55,4.93,95,86,3.58
kedrovyy,RU,56.17,91.82,26.6,100,75,4.47
bluff,NZ,-46.6,168.33,69.01,47,10,4
lebu,CL,-37.62,-73.65,55.69,87,100,11.36
vestmannaeyjar,IS,63.44,-20.27,43.68,75,50,13.13
kimbe,PG,-5.55,150.14,87.24,61,50,0.45
bambous virieux,MU,-20.34,57.76,73.99,88,40,4.7
cabedelo,BR,-6.98,-34.83,78.8,83,20,8.05
namtsy,RU,62.72,129.67,8.6,92,90,4.47
mehamn,NO,71.04,27.85,35.6,81,0,23.04
hermanus,ZA,-34.42,19.23,66.99,70,8,4
pauini,BR,-7.71,-66.98,84.38,63,100,2.21
shelburne,CA,44.08,-80.2,41,57,21,4.59
korla,CN,41.76,86.15,34.12,69,0,3.09
ushuaia,AR,-54.8,-68.3,59,38,75,24.16
qaanaaq,GL,77.48,-69.36,7.3,78,99,8.08
severo-kurilsk,RU,50.68,156.12,38.98,79,70,7.76
karasburg,NA,-28.02,18.75,77.99,15,0,9.35
honiara,SB,-9.43,159.95,78.8,94,75,3.42
saskylakh,RU,71.92,114.08,-12.12,89,50,1.74
pudozh,RU,61.81,36.53,34.97,96,99,3.49
krasnomayskiy,RU,57.62,34.41,35.29,98,100,0.13
namibe,AO,-15.2,12.15,71.87,80,73,5.82
deniliquin,AU,-35.53,144.97,64.27,51,0,7.58
saint-philippe,RE,-21.36,55.77,73.4,73,0,4.7
nouadhibou,MR,20.93,-17.03,75.96,45,99,11.77
maniitsoq,GL,65.42,-52.9,24.66,97,100,3.56
kununurra,AU,-15.77,128.73,84.2,89,69,11.41
paita,PE,-5.09,-81.11,64.44,84,20,17.85
kapaa,US,22.08,-159.32,82.4,61,1,14.99
bengkulu,ID,-3.8,102.27,75.88,86,39,3.96
nikolskoye,RU,59.7,30.79,39.2,86,90,2.24
new norfolk,AU,-42.78,147.06,68,57,87,3
sovetskiy,RU,61.36,63.58,21.96,93,98,10.42
ribeira grande,PT,38.52,-28.7,63.27,78,2,2.89
faanui,PF,-16.48,-151.75,80.15,71,75,7.54
port elizabeth,ZA,-33.92,25.57,64.4,88,0,16.11
christchurch,NZ,-43.53,172.63,72,52,26,3.36
provideniya,RU,64.38,-173.3,32,94,90,22.37
albany,AU,-35.02,117.89,55.4,93,40,8.05
punta arenas,CL,-53.15,-70.92,57.2,50,0,32.21
najran,SA,17.49,44.13,64.4,42,0,1.68
atuona,PF,-9.8,-139.03,78.33,70,2,11.41
arona,ES,28.1,-16.68,73,88,0,12.75
ustye,RU,59.63,39.74,32.61,96,78,6.17
avarua,CK,-21.21,-159.78,78.8,74,35,9.17
ahipara,NZ,-35.17,173.17,63.88,68,14,2.98
komsomolskiy,RU,43.98,46.7,31.71,89,0,1.72
rikitea,PF,-23.12,-134.97,74.1,75,99,17.11
barrow,US,71.29,-156.79,10.4,85,90,12.75
gamba,GA,-2.65,10,77.5,90,100,5.46
iqaluit,CA,63.75,-68.51,17.6,67,75,5.82
chokurdakh,RU,70.63,147.92,-13.09,90,81,4.05
linxia,CN,35.6,103.21,42.89,80,68,0.63
la llave,MX,20.47,-100,80.6,21,40,2.24
rundu,NA,-17.93,19.77,72.97,56,100,2.64
cernavoda,RO,44.37,28.02,50,81,90,3.36
quatre cocos,MU,-20.21,57.76,73.99,88,40,4.7
carnarvon,AU,-24.87,113.63,66.2,72,40,10.29
aklavik,CA,68.22,-135.01,6.8,84,75,8.05
husavik,IS,66.04,-17.34,39.2,69,75,9.17
bandarbeyla,SO,9.49,50.81,75.81,80,25,15.21
khatanga,RU,71.97,102.5,-12.06,90,0,7.58
ancud,CL,-41.87,-73.82,60.01,62,90,2.24
mar del plata,AR,-38,-57.56,66,82,0,17.22
upernavik,GL,72.79,-56.15,15.08,90,100,29.08
east london,ZA,-33.02,27.91,66.81,80,36,19.46
katsuura,JP,35.13,140.3,54,62,75,8.05
winnemucca,US,40.97,-117.74,42.8,45,1,6.93
hilo,US,19.73,-155.09,82.4,61,75,9.17
yugorsk,RU,61.31,63.33,21.96,93,99,10.45
ilulissat,GL,69.22,-51.1,26.6,68,100,18.34
talnakh,RU,69.49,88.4,-11.2,83,44,22.37
tommot,RU,58.96,126.29,16.12,93,100,2.8
rincon,US,32.3,-81.24,75.2,94,90,8.05
san patricio,MX,19.22,-104.7,86,74,5,4.76
maun,BW,-19.98,23.42,75.51,57,55,3.4
vaxjo,SE,56.88,14.81,41,100,75,4.7
mogyorod,HU,47.6,19.24,44.01,100,90,4.7
shubarshi,KZ,48.59,57.19,25.99,92,76,10.49
livingston,US,40.8,-74.31,50,87,90,4.7
tiksi,RU,71.69,128.87,0.27,94,89,1.68
kruisfontein,ZA,-34,24.73,62.01,90,0,1.01
perth,AU,-31.93,115.83,64,100,90,8.05
fortuna,US,40.6,-124.16,55.99,76,1,13.87
atar,MR,20.52,-13.05,82.17,16,61,6.51
nelidovo,RU,56.22,32.78,33.8,92,76,2.64
arraial do cabo,BR,-22.97,-42.03,77,91,75,2.24
tsaratanana,MG,-16.78,47.65,72.79,77,26,1.32
bonfim,BR,3.08,-59.95,84.7,63,100,5.46
ciudad bolivar,VE,8.12,-63.55,83.93,69,26,8.63
auki,SB,-8.77,160.7,83.64,78,96,5.59
havre-saint-pierre,CA,50.23,-63.6,35.6,83,40,9.17
sedan,FR,49.67,5,44.01,92,1,7
meulaboh,ID,4.14,96.13,77.25,88,92,4.27
henties bay,NA,-22.12,14.28,60.01,89,7,7.27
tairua,NZ,-37.02,175.85,64,67,2,11.01
kodinsk,RU,58.69,99.18,22.96,96,100,4.61
ponta do sol,PT,32.67,-17.1,68,72,20,3.36
beloha,MG,-25.17,45.05,67.03,87,22,6.78
maymyo,MM,22.03,96.47,57.36,87,0,3.85
klaksvik,FO,62.23,-6.59,48.2,93,100,26.4
shingu,JP,33.73,135.98,59.5,86,77,8.63
vaitape,PF,-16.52,-151.75,80.98,70,74,7.36
ulladulla,AU,-35.35,150.47,75,69,0,5.82
toora-khem,RU,52.47,96.11,25.25,92,100,1.23
bubaque,GW,11.28,-15.83,84.67,71,0,8.05
show low,US,34.25,-110.03,55.4,15,1,6.93
cidreira,BR,-30.18,-50.21,67.93,91,14,7.27
puerto ayora,EC,-0.74,-90.35,66.99,96,75,1.99
jacareacanga,BR,-6.22,-57.75,73.44,97,100,1.68
constitucion,MX,23.99,-104.67,80.6,10,5,16.11
amahai,ID,-3.33,128.92,82.53,74,89,2.19
aksu,KZ,52.03,76.92,21.2,92,40,11.18
valleyview,CA,55.07,-117.29,33.8,55,100,11.41
vostok,RU,46.49,135.88,26.04,99,100,10.02
caravelas,BR,-17.71,-39.25,75.88,76,93,11.18
nelson bay,AU,-32.72,152.15,73.4,73,0,9.17
akyab,MM,20.15,92.9,75.04,78,0,7.2
