,country,temp (f),humidity %,cloudiness %,wind (mph)
vaini,to,80.6,78,75,12.75
brufut,gm,75.2,100,0,4.72
busselton,au,60.87,71,99,7
lompoc,us,53.04,87,75,8.05
severo-kurilsk,ru,37.13,80,95,23.94
kaitangata,nz,61,53,97,5.99
arraial do cabo,br,73.71,93,100,11.92
mongo,td,79.92,33,57,2.08
rikitea,pf,72.28,77,1,21.12
caravelas,br,74.01,88,100,5.59
qaanaaq,gl,3.33,70,12,9.57
ushuaia,ar,50,76,75,27.51
bathsheba,bb,80.6,83,40,16.11
souillac,mu,71.6,88,40,5.82
nelson bay,au,81.52,39,0,6.93
aklavik,ca,2.35,71,0,6.93
hermanus,za,62.01,83,0,5.99
atuona,pf,78.12,73,2,12.84
takhtamygda,ru,16.52,94,100,2.66
nedjo,et,56.28,89,0,0.54
bluff,nz,55.99,78,64,18.01
yulara,au,89.6,8,0,14.99
chuy,uy,60.66,92,33,7.92
ajdabiya,ly,64.08,64,0,8.99
nikolskoye,ru,41.76,87,90,6.71
lerwick,gb,51.8,93,75,25.28
saskylakh,ru,-4.43,89,100,4.03
hobart,au,73.65,34,40,24.16
port alfred,za,61.63,83,0,13.35
ostrovnoy,ru,30.61,94,95,9.33
cape town,za,62.15,72,0,6.93
sinnamary,gf,78.96,89,99,11.92
leningradskiy,ru,23.94,97,100,19.95
saint george,bm,72.25,73,75,8.05
carnarvon,au,71.6,56,0,17.22
ponta do sol,cv,77,83,75,11.41
beyneu,kz,29.88,95,27,9.17
castro,cl,52.07,87,20,2.24
ardesen,tr,53.6,87,90,9.17
hami,cn,42.82,54,0,0.31
magistralnyy,ru,19.2,94,1,6.31
georgetown,sh,75.22,82,100,16.55
los llanos de aridane,es,68.61,82,0,2.24
muros,es,54.66,87,75,11.41
butaritari,ki,81.75,78,99,13.62
tura,ru,8.04,95,100,3.71
dzilam gonzalez,mx,75.45,97,87,3.6
khudumelapye,bw,71.28,60,0,12.15
kyren,ru,29.91,82,93,2.71
ancud,cl,51.94,87,20,2.24
bethel,us,63.97,100,90,4.7
cidreira,br,68.36,89,99,3.38
fortuna,us,47.79,100,20,8.05
saint-philippe,re,69.57,60,90,4.7
thompson,ca,1.4,84,75,9.17
khabary,ru,27.77,92,30,9.84
new norfolk,au,72.88,34,40,24.16
port elizabeth,za,60.8,93,0,5.82
necochea,ar,64,75,0,15.99
lienz,at,30.49,97,0,2.82
cabo san lucas,mx,72.75,68,20,8.05
naze,jp,73.44,64,75,23.04
dikson,ru,1.58,93,98,4.92
seymchan,ru,-13.76,86,99,2.04
beloha,mg,69.31,94,48,6.42
hasaki,jp,53.06,71,75,9.17
albany,au,60.8,63,75,11.41
rock springs,us,21.2,79,90,20.8
omsukchan,ru,-12.93,85,100,4.52
deputatskiy,ru,-15.14,80,68,1.77
jamestown,sh,61.09,88,65,15.12
kapaa,us,79.68,74,75,20.8
constitucion,mx,57.96,54,1,8.41
bilma,ne,67.87,31,90,6.69
san patricio,mx,78.8,78,40,6.93
anadyr,ru,15.8,92,20,8.95
pevek,ru,17.22,95,94,14.83
pringsewu,id,84.52,66,100,4.18
tasiilaq,gl,19.42,79,9,5.64
dunedin,nz,61.54,57,72,5.14
tondon,gn,72.59,88,0,0.58
soyo,ao,78.48,84,100,8.16
tiksi,ru,2.95,93,99,4.59
ossora,ru,24.94,83,0,3.85
bredasdorp,za,62.01,83,1,5.99
kijang,id,86,74,20,5.82
puerto ayora,ec,69.01,89,96,1.01
bahia honda,cu,77.31,86,97,9.15
punta arenas,cl,50,71,0,18.34
paralimni,cy,64.72,82,20,6.93
mahebourg,mu,71.6,88,40,5.82
ulaanbaatar,mn,12.2,92,0,4.5
lebu,cl,52.45,86,14,13.78
pativilca,pe,61.05,88,97,4.56
esperance,au,60.8,67,90,6.93
puerto penasco,mx,66,42,0,4
wajima,jp,53.6,71,40,11.41
barrow,us,17.6,78,90,17.22
komsomolskiy,ru,32.07,89,0,3.24
dusti,tj,53.6,76,90,2.24
kingsville,us,72,88,1,4.7
east london,za,61.66,81,15,9.57
yellowknife,ca,3.36,84,75,4.7
upernavik,gl,13.62,89,95,8.05
faanui,pf,77.99,76,100,12.82
broome,au,89.6,55,0,9.17
yumen,cn,36.46,59,17,12.57
paita,pe,63.43,86,99,8.21
victoria,sc,78.8,83,20,6.93
laguna,br,69.28,95,99,2.71
turiacu,br,76.01,93,100,4.38
provideniya,ru,32,97,90,11.18
norman wells,ca,3.2,71,20,8.05
shubarshi,kz,26.13,97,0,8.95
jieshi,cn,71.01,48,0,1.99
bambous virieux,mu,72.27,88,40,5.82
jiuquan,cn,41.11,47,8,2.68
salalah,om,75.2,78,40,3.36
mumford,gh,79.16,83,3,6.24
chokurdakh,ru,-13.14,91,79,3.22
trelew,ar,66.94,65,97,20.36
road town,vg,75.2,88,90,9.17
luderitz,na,66.54,33,0,4.38
esmeraldas,ec,72.66,69,40,16.11
khatanga,ru,-11.22,91,77,1.25
comodoro rivadavia,ar,64.4,82,0,1.12
agadez,ne,60.69,33,0,11.61
hamilton,bm,71.6,73,75,8.05
tessalit,ml,67.75,26,2,9.93
lubango,ao,62.11,74,100,0.56
northam,au,67.14,48,40,5.82
cherskiy,ru,10.31,95,100,10.96
college,us,25.68,79,75,1.28
fairburn,us,71.76,94,90,4.7
hilo,us,73.99,74,75,8.12
mandeville,us,72.45,96,0,9.73
simdega,in,69.89,75,100,4.56
sao joao da barra,br,73.53,93,100,6.2
bardiyah,ly,66.52,82,9,12.3
mar del plata,ar,63.16,88,0,9.17
juquitiba,br,66.51,82,75,3.36
eureka,us,47.84,34,0,3.98
sao filipe,cv,80.04,68,0,4.36
presidencia roque saenz pena,ar,70,89,0,1.99
aquiraz,br,80.6,78,75,11.41
krasnorechenskiy,ru,49.15,50,0,3.96
kodiak,us,44.6,70,75,3.36
sitka,us,41,80,90,13.87
callaway,us,73.6,94,20,8.05
tuktoyaktuk,ca,3.2,71,75,12.75
longyearbyen,sj,42.8,81,75,32.21
mattru,sl,73.99,96,0,1.19
blagoyevo,ru,25,97,43,9.22
cap malheureux,mu,73,77,1,1.99
narsaq,gl,22.73,80,0,6.55
ilulissat,gl,10.15,94,99,5.79
te anau,nz,71.26,33,10,5.79
ust-kuyga,ru,-7.98,88,91,6.24
yantzaza,ec,68.09,81,100,2.24
hambantota,lk,75.2,100,20,2.24
avarua,ck,78.8,74,11,13.87
adrar,dz,69.67,27,0,10.09
vzmorye,ru,40.48,86,90,4.47
rawson,ar,65.05,69,100,20.47
marinette,us,33.6,64,1,5.82
jacareacanga,br,76.57,83,96,1.59
